,sigma,Pt_sv_GW,ismear,encut,n_kpts,n_equ_kpts,job_name,job_id,energy_tot,avg. plane waves,energy_tot_wo_kin_corr,volume,el_conv
142,0.2,1,-5,320.0,11.0,56,job__16_577658__320_000000__11_0,14551707,-5.93332037,215.59203606311044,-5.56742037,16.57765808372008,0.012590380000000678
143,0.2,1,-5,320.0,11.0,56,job__16_734051__320_000000__11_0,14551714,-5.91466789,217.22389181066868,-5.54876789,16.73405095057004,0.012280000000000513
144,0.2,1,-5,320.0,11.0,56,job__16_890444__320_000000__11_0,14551719,-5.90362645,219.51389932381667,-5.53772645,16.89044395449491,0.011887970000000081
145,0.2,1,-5,320.0,11.0,56,job__17_046837__320_000000__11_0,14551723,-5.88981177,221.7137490608565,-5.52391177,17.046836941467845,0.011542219999999936
146,0.2,1,-5,320.0,11.0,56,job__17_203230__320_000000__11_0,14551727,-5.86842237,223.46280991735537,-5.50252237,17.203229874204276,0.011241659999999598
147,0.2,1,-5,340.0,11.0,56,job__14_075370__340_000000__11_0,14551731,-5.86703897,200.39894815927875,-5.63733897,14.075369968222544,3.949999999974807e-06
148,0.2,1,-5,340.0,11.0,56,job__14_231763__340_000000__11_0,14551736,-5.89743586,202.3824192336589,-5.66773586,14.231763074011697,0.014911679999999983
149,0.2,1,-5,340.0,11.0,56,job__14_388156__340_000000__11_0,14551742,-5.92676169,204.92486851990984,-5.69706169,14.388155910879137,0.014759680000000053
150,0.2,1,-5,340.0,11.0,56,job__14_544549__340_000000__11_0,14551746,-5.9500045,207.11119459053344,-5.7203045,14.544549108870083,1.568999999967957e-05
151,0.2,1,-5,340.0,11.0,56,job__14_700942__340_000000__11_0,14551749,-5.97084189,209.53343350864012,-5.74114189,14.700942105541351,0.014444339999999833
152,0.2,1,-5,340.0,11.0,56,job__14_857335__340_000000__11_0,14551753,-5.98616916,211.64312546957174,-5.75646916,14.857334906763892,0.01432952999999948
153,0.2,1,-5,340.0,11.0,56,job__15_013728__340_000000__11_0,14551758,-5.99654998,213.4643125469572,-5.76684998,15.013728084698805,0.01415217000000002
154,0.2,1,-5,340.0,11.0,56,job__15_170121__340_000000__11_0,14551762,-6.00708289,215.862509391435,-5.77738289,15.170120922697123,0.013954299999999975
155,0.2,1,-5,340.0,11.0,56,job__15_326514__340_000000__11_0,14551765,-6.01330567,218.01728024042075,-5.78360567,15.32651391499211,0.013747389999999804
156,0.2,1,-5,340.0,11.0,56,job__15_482907__340_000000__11_0,14551767,-6.01916024,220.59579263711495,-5.7894602399999995,15.482906910314732,0.013493320000000253
157,0.2,1,-5,340.0,11.0,56,job__15_639300__340_000000__11_0,14551772,-6.02082711,222.9038317054846,-5.79112711,15.63930001600553,0.013268440000000048
158,0.2,1,-5,340.0,11.0,56,job__15_795693__340_000000__11_0,14551779,-6.01714328,224.67693463561233,-5.78744328,15.795693112525244,1.2009999999840204e-05
159,0.2,1,-5,340.0,11.0,56,job__15_952086__340_000000__11_0,14551784,-6.01466116,227.07963936889556,-5.78496116,15.952086067748468,1.1549999999971305e-05
160,0.2,1,-5,340.0,11.0,56,job__16_108479__340_000000__11_0,14551787,-6.00907004,229.3335837716003,-5.77937004,16.10847896082863,1.1210000000261289e-05
161,0.2,1,-5,340.0,11.0,56,job__16_264872__340_000000__11_0,14551790,-6.00217572,231.67768595041323,-5.77247572,16.26487207288452,1.0869999999663094e-05
162,0.2,1,-5,340.0,11.0,56,job__16_421265__340_000000__11_0,14551795,-5.993107,233.98572501878286,-5.763407,16.421264900949566,0.011882410000000121
163,0.2,1,-5,340.0,11.0,56,job__16_577658__340_000000__11_0,14551800,-5.97959484,235.8069120961683,-5.74989484,16.57765808372008,0.011596980000000201
164,0.2,1,-5,340.0,11.0,56,job__16_734051__340_000000__11_0,14551804,-5.96873248,238.4214876033058,-5.73903248,16.73405095057004,9.870000000411494e-06
