,sigma,Cu_sv_GW,ismear,encut,n_kpts,n_equ_kpts,job_name,job_id,energy_tot,avg. plane waves,energy_tot_wo_kin_corr,volume,el_conv
1242,0.2,1,-5,400.0,21.0,286,job__11_148468__400_000000__21_0,14519744,-3.67377123,202.57175251052803,-3.43367123,11.14846807761037,0.5266746100000006
1243,0.2,1,-5,400.0,21.0,286,job__11_268344__400_000000__21_0,14519745,-3.6821829,204.6669906057661,-3.4420829,11.26834401530571,0.5362690700000003
1244,0.2,1,-5,400.0,21.0,286,job__11_388220__400_000000__21_0,14519746,-3.69027395,206.91188856494978,-3.45017395,11.388220018438572,0.5456122299999997
1245,0.2,1,-5,400.0,21.0,286,job__11_508096__400_000000__21_0,14519747,-3.6961898,209.06284418529316,-3.4560898,11.508096041609539,0.55474361
1246,0.2,1,-5,400.0,21.0,286,job__11_627972__400_000000__21_0,14519748,-3.69994943,211.13950977216282,-3.4598494300000002,11.627972070313696,0.5636427699999995
1247,0.2,1,-5,400.0,21.0,286,job__11_747848__400_000000__21_0,14519749,-3.70345747,213.35266169960047,-3.46335747,11.747847910787167,0.57228821
1248,0.2,1,-5,400.0,21.0,286,job__11_867724__400_000000__21_0,14519750,-3.70571018,215.55285606306015,-3.46561018,11.867723955280354,0.02138345000000008
1249,0.2,1,-5,400.0,21.0,286,job__11_987600__400_000000__21_0,14519751,-3.70658011,217.74592376633194,-3.46648011,11.987599999437174,0.5890592100000003
1250,0.2,1,-5,400.0,21.0,286,job__12_107476__400_000000__21_0,14519752,-3.70643372,219.93791167260554,-3.46633372,12.107476005107518,0.59712451
1251,0.2,1,-5,400.0,21.0,286,job__12_227352__400_000000__21_0,14519753,-3.70531863,222.15883813842999,-3.46521863,12.227352092537338,0.8378653800000002
1252,0.2,1,-5,400.0,21.0,286,job__12_347228__400_000000__21_0,14519754,-3.70229073,224.2501889644747,-3.46219073,12.34722792683572,0.8338919499999995
1253,0.2,1,-5,400.0,21.0,286,job__12_467104__400_000000__21_0,14519755,-3.69916158,226.45103120613325,-3.45906158,12.46710391000743,0.8297137799999996
1254,0.2,1,-5,400.0,21.0,286,job__12_586980__400_000000__21_0,14519756,-3.69516871,228.65468091998704,-3.45506871,12.586979965738319,0.8253993500000005
1255,0.2,1,-5,400.0,21.0,286,job__12_706856__400_000000__21_0,14519757,-3.69082836,230.93262066731455,-3.45072836,12.706855923925168,0.01854941000000032
1256,0.2,1,-5,400.0,21.0,286,job__12_826732__400_000000__21_0,14519758,-3.68368273,232.91512795594429,-3.44358273,12.826731920937846,0.01810862000000002
1257,0.2,1,-5,400.0,21.0,286,job__12_946608__400_000000__21_0,14519759,-3.67794982,235.19177194687398,-3.43784982,12.94660798183227,0.017751040000000273
1258,0.2,1,-5,400.0,21.0,286,job__13_066484__400_000000__21_0,14519760,-3.67103285,237.39779721412376,-3.43093285,13.066484006500637,0.6530818799999998
1259,0.2,1,-5,400.0,21.0,286,job__13_186360__400_000000__21_0,14519761,-3.66341678,239.60403844077314,-3.42331678,13.186359966886624,0.6590125300000005
1260,0.2,1,-5,400.0,23.0,364,job__10_788840__400_000000__23_0,14519762,-3.63561975,195.9851236952412,-3.39551975,10.788840043144676,0.49697661999999987
1261,0.2,1,-5,400.0,23.0,364,job__10_908716__400_000000__23_0,14519763,-3.65024408,198.1797485000411,-3.41014408,10.908716080582742,0.5070617400000006
1262,0.2,1,-5,400.0,23.0,364,job__11_028592__400_000000__23_0,14519764,-3.66292078,200.3771677488288,-3.42282078,11.02859192202126,0.5170004599999998
1263,0.2,1,-5,400.0,23.0,364,job__11_148468__400_000000__23_0,14519765,-3.67280743,202.43946741185172,-3.4327074300000002,11.14846807761037,0.52676218
1264,0.2,1,-5,400.0,23.0,364,job__11_268344__400_000000__23_0,14519766,-3.68301433,204.75392455001233,-3.44291433,11.26834401530571,0.5362387599999998
1265,0.2,1,-5,400.0,23.0,364,job__11_388220__400_000000__23_0,14519767,-3.69036161,206.90005753267033,-3.45026161,11.388220018438572,0.5456082799999997
